UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
tj-ds     1870  1770  1881  0    5 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
tj-ds     1870  1770  1882  0    5 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
tj-ds     1870  1770  1885  0    5 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
tj-ds     1870  1770  2107  0    5 19:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
tj-ds     1889     1  1889  0    4 19:53 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
tj-ds     1889     1  1922  0    4 19:53 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
tj-ds     1889     1  1930  0    4 19:53 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
tj-ds     1889     1  1931  0    4 19:53 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1890     1  1890  0    3 19:53 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1890     1  1894  0    3 19:53 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1890     1  1895  0    3 19:53 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1892     1  1892  0    3 19:53 ?        00:00:00 /usr/lib/upower/upowerd
root      1892     1  1896  0    3 19:53 ?        00:00:00 /usr/lib/upower/upowerd
root      1892     1  1897  0    3 19:53 ?        00:00:00 /usr/lib/upower/upowerd
tj-ds     1916     1  1916  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd
tj-ds     1916     1  1917  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd
tj-ds     1916     1  1918  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd
tj-ds     1921     1  1921  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
tj-ds     1921     1  1924  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
tj-ds     1921     1  1926  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
tj-ds     1921     1  1927  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
tj-ds     1921     1  1928  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
tj-ds     1921     1  1929  0    6 19:53 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
root      1936     2  1936  0    1 19:53 ?        00:00:00 [krfcommd]
tj-ds     1940     1  1940  0    3 19:53 ?        00:00:00 /usr/lib/dconf/dconf-service
tj-ds     1940     1  1941  0    3 19:53 ?        00:00:00 /usr/lib/dconf/dconf-service
tj-ds     1940     1  1942  0    3 19:53 ?        00:00:00 /usr/lib/dconf/dconf-service
tj-ds     1944     1  1944  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
tj-ds     1944     1  1945  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
tj-ds     1944     1  1946  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      1947     1  1947  0    5 19:53 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1947     1  1949  0    5 19:53 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1947     1  1951  0    5 19:53 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1947     1  1952  0    5 19:53 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
root      1947     1  1953  0    5 19:53 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
tj-ds     1956     1  1956  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
tj-ds     1956     1  1957  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
tj-ds     1956     1  1958  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
tj-ds     1961     1  1961  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
tj-ds     1961     1  1962  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
tj-ds     1961     1  1964  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
tj-ds     1966     1  1966  0    4 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
tj-ds     1966     1  1967  0    4 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
tj-ds     1966     1  1968  0    4 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
tj-ds     1966     1  1970  0    4 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
tj-ds     1972     1  1972  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
tj-ds     1972     1  1973  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
tj-ds     1972     1  1975  0    3 19:53 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
tj-ds     1977  1770  1977  0    1 19:53 ?        00:00:00 /usr/bin/python2 /usr/bin/cinnamon-launcher
colord    1978     1  1978  0    3 19:53 ?        00:00:00 /usr/lib/colord/colord
colord    1978     1  1987  0    3 19:53 ?        00:00:00 /usr/lib/colord/colord
colord    1978     1  1989  0    3 19:53 ?        00:00:00 /usr/lib/colord/colord
tj-ds     1979  1870  1979  0    1 19:53 ?        00:00:00 syndaemon -i 1.0 -t -K -R
tj-ds     1981     1  1981  0    3 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-printer
tj-ds     1981     1  1983  0    3 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-printer
tj-ds     1981     1  1984  0    3 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-printer
tj-ds     1991  1977  1991  1    6 19:53 ?        00:00:18 cinnamon --replace
tj-ds     1991  1977  1996  0    6 19:53 ?        00:00:00 cinnamon --replace
tj-ds     1991  1977  1997  0    6 19:53 ?        00:00:00 cinnamon --replace
tj-ds     1991  1977  1998  0    6 19:53 ?        00:00:00 cinnamon --replace
